component_id,lot_id,component_type,parameter,unit,temperature_C,time_h,parameter_value,datasheet_min,datasheet_max,failure_mode,lot_median,lot_mad,robust_z,anomaly_label_early,anomaly_score,future_failure_label_168h,risk_level_168h,qa_recommendation,split,observed_early_measurement,prediction_target,datasheet_pass
FPGA_0001,LOT_A01,FPGA,Leakage Current (µA),µA,121.74,0,10.417137,0.0,50.0,accelerating_drift,10.404641,0.2359620000000006,0.0357194655513169,1,100.0,1,CRITICAL,HOLD / REJECT,train,True,,True
FPGA_0001,LOT_A01,FPGA,Leakage Current (µA),µA,121.99,24,13.278739,0.0,50.0,accelerating_drift,11.285488,0.1667780000000007,8.061191409043616,1,100.0,1,CRITICAL,HOLD / REJECT,train,True,,True
FPGA_0001,LOT_A01,FPGA,Leakage Current (µA),µA,121.35,96,25.804767,0.0,50.0,accelerating_drift,14.54341,0.1187509999999996,63.9630928216781,1,100.0,1,CRITICAL,HOLD / REJECT,train,False,,True
FPGA_0001,LOT_A01,FPGA,Leakage Current (µA),µA,122.15,168,40.716318,0.0,50.0,accelerating_drift,17.83988,0.6050269999999998,25.502904896375284,1,100.0,1,CRITICAL,HOLD / REJECT,train,False,40.716318,True
FPGA_0005,LOT_A01,FPGA,Leakage Current (µA),µA,121.74,0,10.071377,0.0,50.0,healthy,10.404641,0.2359620000000006,-0.9526257976547378,0,45.32,0,REVIEW,QA REVIEW,train,True,,True
FPGA_0005,LOT_A01,FPGA,Leakage Current (µA),µA,121.59,24,11.11871,0.0,50.0,healthy,11.285488,0.1667780000000007,-0.6744907594765952,0,45.32,0,REVIEW,QA REVIEW,train,True,,True
FPGA_0005,LOT_A01,FPGA,Leakage Current (µA),µA,121.53,96,14.61832,0.0,50.0,healthy,14.54341,0.1187509999999996,0.4254793878989864,0,45.32,0,REVIEW,QA REVIEW,train,False,,True
FPGA_0005,LOT_A01,FPGA,Leakage Current (µA),µA,121.26,168,17.83988,0.0,50.0,healthy,17.83988,0.6050269999999998,0.0,0,45.32,0,REVIEW,QA REVIEW,train,False,17.83988,True
FPGA_0009,LOT_A01,FPGA,Leakage Current (µA),µA,121.1,0,9.49175,0.0,50.0,healthy,10.404641,0.2359620000000006,-2.609473321591387,0,63.27,0,HIGH,QA REVIEW,train,True,,True
FPGA_0009,LOT_A01,FPGA,Leakage Current (µA),µA,121.09,24,10.721567,0.0,50.0,healthy,11.285488,0.1667780000000007,-2.2806335582318997,0,63.27,0,HIGH,QA REVIEW,train,True,,True
