component_id,lot_id,component_type,parameter,unit,datasheet_min,datasheet_max,failure_mode,parameter_value_0h,parameter_value_24h,parameter_value_96h,parameter_value_168h,lot_median_0h,lot_median_24h,lot_median_96h,lot_median_168h,lot_mad_0h,lot_mad_24h,lot_mad_96h,lot_mad_168h,robust_z_0h,robust_z_24h,robust_z_96h,robust_z_168h,early_drift_24h,early_pct_drift_24h,early_slope_per_h,predicted_168h_linear,actual_168h,observed_drift_168h,observed_slope_per_h,learned_safety_slope_95p,slope_excess_vs_safety,early_robust_z_max,anomaly_label_early,anomaly_score,future_failure_label_168h,risk_level_168h,qa_recommendation,explanation,split
FPGA_0001,LOT_A01,FPGA,Leakage Current (µA),µA,0.0,50.0,accelerating_drift,10.417137,13.278739,25.804767,40.716318,10.404641,11.285488,14.54341,17.83988,0.2359620000000006,0.1667780000000007,0.1187509999999996,0.6050269999999998,0.0357194655513169,8.061191409043616,63.9630928216781,25.502904896375284,2.8616019999999995,27.47013886828981,0.1192334166666666,30.448351,40.716318,30.299181,0.1803522678571428,0.0541056717261904,0.1262465961309524,8.061191409043616,1,100.0,1,CRITICAL,HOLD / REJECT,Lot-level outlier; Abnormal early drift; Drift above learned safety slope,train
FPGA_0005,LOT_A01,FPGA,Leakage Current (µA),µA,0.0,50.0,healthy,10.071377,11.11871,14.61832,17.83988,10.404641,11.285488,14.54341,17.83988,0.2359620000000006,0.1667780000000007,0.1187509999999996,0.6050269999999998,-0.9526257976547378,-0.6744907594765952,0.4254793878989864,0.0,1.047333,10.399104313144072,0.043638875,17.402708,17.83988,7.768503000000001,0.0462410892857142,0.0541056717261904,-0.0078645824404761,0.9526257976547378,0,45.32,0,REVIEW,QA REVIEW,Abnormal early drift,train
FPGA_0009,LOT_A01,FPGA,Leakage Current (µA),µA,0.0,50.0,healthy,9.49175,10.721567,14.424659,18.444907,10.404641,11.285488,14.54341,17.83988,0.2359620000000006,0.1667780000000007,0.1187509999999996,0.6050269999999998,-2.609473321591387,-2.2806335582318997,-0.6744907594765952,0.6744907594765952,1.2298170000000006,12.956693971080156,0.051242375,18.100469000000004,18.444907,8.953157000000001,0.0532926011904762,0.0541056717261904,-0.0008130705357142,2.609473321591387,0,63.27,0,HIGH,QA REVIEW,Abnormal early drift,train
FPGA_0013,LOT_A01,FPGA,Leakage Current (µA),µA,0.0,50.0,healthy,10.640603,11.318488,13.693177,16.060996,10.404641,11.285488,14.54341,17.83988,0.2359620000000006,0.1667780000000007,0.1187509999999996,0.6050269999999998,0.6744907594765952,0.1334600190836152,-4.829216612088029,-1.9831194643888044,0.6778849999999998,6.370738575623955,0.0282452083333333,15.385798,16.060996,5.420392999999999,0.032264244047619,0.0541056717261904,-0.0218414276785714,0.6744907594765952,0,42.31,0,REVIEW,QA REVIEW,Abnormal early drift,train
FPGA_0017,LOT_A01,FPGA,Leakage Current (µA),µA,0.0,50.0,healthy,10.404641,11.285488,14.54341,17.55206,10.404641,11.285488,14.54341,17.83988,0.2359620000000006,0.1667780000000007,0.1187509999999996,0.6050269999999998,0.0,0.0,0.0,-0.320864904198579,0.880847000000001,8.465904782298601,0.0367019583333333,16.570570000000007,17.55206,7.147419000000001,0.0425441607142857,0.0541056717261904,-0.0115615110119047,0.0,0,35.0,0,REVIEW,QA REVIEW,Abnormal early drift,train
FPGA_0024,LOT_B02,FPGA,Leakage Current (µA),µA,0.0,50.0,healthy,9.620889,10.60459,13.137644,15.753205,9.620889,10.60459,13.137644,15.753205,0.7745449999999998,1.045375,0.9856440000000006,1.25061,0.0,0.0,0.0,0.0,0.983701,10.224637245061242,0.0409875416666666,16.506796,15.753205,6.132315999999999,0.0365018809523809,0.0541056717261904,-0.0176037907738095,0.0,0,35.0,0,REVIEW,QA REVIEW,Abnormal early drift,train
FPGA_0028,LOT_B02,FPGA,Leakage Current (µA),µA,0.0,50.0,healthy,10.731802,11.649965,14.123288,16.79616,9.620889,10.60459,13.137644,15.753205,0.7745449999999998,1.045375,0.9856440000000006,1.25061,0.9674073850872744,0.6744907594765952,0.6744907594765952,0.5624963098407282,0.9181629999999998,8.555534289581562,0.0382567916666666,17.158943,16.79616,6.064358,0.036097369047619,0.0541056717261904,-0.0180083026785714,0.9674073850872744,0,45.48,0,REVIEW,QA REVIEW,Abnormal early drift,train
FPGA_0032,LOT_B02,FPGA,Leakage Current (µA),µA,0.0,50.0,healthy,10.860407,11.963621,14.972326,18.016471,9.620889,10.60459,13.137644,15.753205,0.7745449999999998,1.045375,0.9856440000000006,1.25061,1.079399437353428,0.8768660541358236,1.255500013775804,1.2206459273774843,1.1032139999999997,10.158127591350851,0.0459672499999999,18.582905,18.016471,7.156063999999999,0.042595619047619,0.0541056717261904,-0.0115100526785714,1.079399437353428,0,46.69,0,REVIEW,QA REVIEW,Abnormal early drift,train
FPGA_0036,LOT_B02,FPGA,Leakage Current (µA),µA,0.0,50.0,healthy,8.86166,9.415057,11.019819,12.540827,9.620889,10.60459,13.137644,15.753205,0.7745449999999998,1.045375,0.9856440000000006,1.25061,-0.6611532510398437,-0.7675035433145746,-1.4492589542355243,-1.7325299469426163,0.5533969999999986,6.244845773816627,0.0230582083333332,12.73543899999999,12.540827,3.679167,0.0218998035714285,0.0541056717261904,-0.0322058681547619,0.7675035433145746,0,43.31,0,REVIEW,QA REVIEW,Abnormal early drift,train
FPGA_0040,LOT_B02,FPGA,Leakage Current (µA),µA,0.0,50.0,healthy,8.846344,9.576276,12.182286,14.502595,9.620889,10.60459,13.137644,15.753205,0.7745449999999998,1.045375,0.9856440000000006,1.25061,-0.6744907594765953,-0.6634827605791372,-0.6537656019739794,-0.6744907594765952,0.7299319999999998,8.251227851867391,0.0304138333333333,13.955868,14.502595,5.656250999999999,0.0336681607142857,0.0541056717261904,-0.0204375110119047,0.6744907594765953,0,42.31,0,REVIEW,QA REVIEW,Abnormal early drift,train
